X,Y,Operator,Opref,Sitengr,Antennaht,Transtype,Freqband,Anttype,Powerdbw,Maxpwrdbw,Maxpwrdbm,Sitelat,Sitelng,pcd_sector,geo_code
545808.212,257980.0794,T-Mobile,69784,TL4569358025,20.55,UMTS,2100,SECTOR,16,,65,52.200772,0.132118,CB1 2,12
545808.212,257980.0794,T-Mobile,69784,TL4569358025,21.3,UMTS,2100,SECTOR,18,,65,52.200772,0.132118,CB1 2,12
545821.1948,257341.0026,T-Mobile,69816,TL4570657386,16.25,UMTS,2100,SECTOR,18,,65,52.195027,0.132033,CB1 2,12
545821.1948,257341.0026,T-Mobile,69816,TL4570657386,14.6,UMTS,2100,SECTOR,19,,65,52.195027,0.132033,CB1 2,12
545821.1948,257341.0026,T-Mobile,69816,TL4570657386,17.25,UMTS,2100,SECTOR,20,,65,52.195027,0.132033,CB1 2,12
545820.238,257340.9744,Vodafone,31745,TL4570557386,15.6,GSM,900,Macro,24.7,32,,52.195027,0.132019,CB1 2,12
545820.238,257340.9744,Vodafone,31745,TL4570557386,14.9,GSM,900,Macro,25.4,32,,52.195027,0.132019,CB1 2,12
545820.238,257340.9744,Vodafone,31745,TL4570557386,15.6,GSM,900,Macro,25,32,,52.195027,0.132019,CB1 2,12
545820.238,257340.9744,Vodafone,31745,TL4570557386,15.6,UMTS,2100,Macro,29.2,,65,52.195027,0.132019,CB1 2,12
545820.238,257340.9744,Vodafone,31745,TL4570557386,14.9,UMTS,2100,Macro,29.8,,65,52.195027,0.132019,CB1 2,12
545820.238,257340.9744,Vodafone,31745,TL4570557386,15.6,UMTS,2100,Macro,29.6,,65,52.195027,0.132019,CB1 2,12
547791.4449,257908.0229,O2,10921,TL4767657953,14,GSM,900,Sectored,20.5,32,,52.199597,0.161084,CB1 3,12
546763.341,258746.1272,O2,11316,TL4664858791,14,GSM,900,Sectored,19.5,32,,52.207401,0.146415,CB1 3,12
546660.3222,258070.109,O2,16477,TL4654558115,17.5,GSM,900,Microcell,25.39,32,,52.201355,0.144616,CB1 3,12
546660.3222,258070.109,O2,16477,TL4654558115,17.5,UMTS,900,Microcell,27.39,32,,52.201355,0.144616,CB1 3,12
547791.4449,257908.0229,O2,10921,TL4767657953,11,UMTS,2100,Sectored,28.5,,65,52.199597,0.161084,CB1 3,12
546763.341,258746.1272,O2,11316,TL4664858791,14,UMTS,2100,Sectored,20.79,,65,52.207401,0.146415,CB1 3,12
548375.522,257597.9973,O2,11319,TL4826057643,14,UMTS,2100,Sectored,28.68,,65,52.196655,0.169488,CB1 3,12
546660.3222,258070.109,O2,16477,TL4654558115,17.5,UMTS,2100,Sectored,27.5,,65,52.201355,0.144616,CB1 3,12
547285.4147,257524.9762,Orange,CAM7059,TL4717057570,7,GSM,1800,OMNI,21.7,32,,52.196291,0.153519,CB1 3,12
547285.4147,257524.9762,Orange,CAM7059,TL4717057570,7,UMTS,2100,MICROCELL,17.6,,65,52.196291,0.153519,CB1 3,12
546651.3254,258099.1169,Three,CB0230,TL4653658144,14,UMTS,2100,Sectored,17.5,,65,52.201618,0.144497,CB1 3,12
546895.3543,257097.0004,Three,CB0385,TL4678057142,19,UMTS,2100,Sectored,18.7,,65,52.19255,0.147631,CB1 3,12
547525.4361,256664.9064,Vodafone,3305,TL4741056710,15,GSM,900,Macro,24.5,32,,52.1885,0.156654,CB1 3,12
547525.4361,256664.9064,Vodafone,3305,TL4741056710,15,GSM,900,Macro,24.5,32,,52.1885,0.156654,CB1 3,12
547525.4361,256664.9064,Vodafone,3305,TL4741056710,15,GSM,900,Macro,24.5,32,,52.1885,0.156654,CB1 3,12
547525.4361,256664.9064,Vodafone,3305,TL4741056710,15,UMTS,2100,Macro,28,,65,52.1885,0.156654,CB1 3,12
547525.4361,256664.9064,Vodafone,3305,TL4741056710,15,UMTS,2100,Macro,28,,65,52.1885,0.156654,CB1 3,12
547525.4361,256664.9064,Vodafone,3305,TL4741056710,15,UMTS,2100,Macro,28,,65,52.1885,0.156654,CB1 3,12
546725.3057,258035.0778,Vodafone,5551,TL4661058080,20,GSM,900,Macro,25.9,32,,52.201023,0.145551,CB1 3,12
546725.3057,258035.0778,Vodafone,5551,TL4661058080,20,GSM,900,Macro,25.9,32,,52.201023,0.145551,CB1 3,12
546725.3057,258035.0778,Vodafone,5551,TL4661058080,20,GSM,900,Macro,25.9,32,,52.201023,0.145551,CB1 3,12
546725.3057,258035.0778,Vodafone,5551,TL4661058080,20,UMTS,2100,Macro,29.2,,65,52.201023,0.145551,CB1 3,12
546725.3057,258035.0778,Vodafone,5551,TL4661058080,20,UMTS,2100,Macro,29.2,,65,52.201023,0.145551,CB1 3,12
546725.3057,258035.0778,Vodafone,5551,TL4661058080,20,UMTS,2100,Macro,29.2,,65,52.201023,0.145551,CB1 3,12
548375.522,257597.9973,Vodafone,78917,TL4826057643,12.9,UMTS,2100,Macro,28.1,,65,52.196655,0.169488,CB1 3,12
548375.522,257597.9973,Vodafone,78917,TL4826057643,12.9,UMTS,2100,Macro,28.1,,65,52.196655,0.169488,CB1 3,12
548375.522,257597.9973,Vodafone,78917,TL4826057643,12.9,UMTS,2100,Macro,28.1,,65,52.196655,0.169488,CB1 3,12
546757.3516,258745.1706,Vodafone,78930,TL4664258790,12.9,UMTS,2100,Macro,28.1,,65,52.207394,0.146327,CB1 3,12
546757.3516,258745.1706,Vodafone,78930,TL4664258790,12.9,UMTS,2100,Macro,28.1,,65,52.207394,0.146327,CB1 3,12
546757.3516,258745.1706,Vodafone,78930,TL4664258790,12.9,UMTS,2100,Macro,28.1,,65,52.207394,0.146327,CB1 3,12
546815.3407,256654.9645,O2,5104,TL4670056700,12.14,UMTS,900,Microcell,26,32,,52.1886,0.14627,CB1 7,12
546815.3407,256654.9645,O2,5104,TL4670056700,12.15,GSM,900,Microcell,24,32,,52.1886,0.14627,CB1 7,12
546231.2949,256882.9186,O2,37142,TL4611656928,21,GSM,900,Sectored,26.5,32,,52.190803,0.137831,CB1 7,12
546231.2949,256882.9186,O2,37142,TL4611656928,21,UMTS,900,Sectored,27.5,32,,52.190803,0.137831,CB1 7,12
546815.3407,256654.9645,O2,5104,TL4670056700,12.15,GSM,1800,Sectored,27.5,32,,52.1886,0.14627,CB1 7,12
546815.3407,256654.9645,O2,5104,TL4670056700,15,UMTS,2100,Sectored,29,,65,52.1886,0.14627,CB1 7,12
546231.2949,256882.9186,O2,37142,TL4611656928,21,UMTS,2100,Sectored,28.29,,65,52.190803,0.137831,CB1 7,12
546350.2841,256385.8797,T-Mobile,78292,TL4623556431,5,GSM,1800,SECTOR,0,32,,52.186306,0.139356,CB1 7,12
547779.4639,256209.8702,O2,37182,TL4766456255,13,GSM,900,Sectored,24,32,,52.184344,0.160169,CB1 8,12
547779.4639,256209.8702,O2,37182,TL4766456255,13,UMTS,2100,Sectored,27.5,,65,52.184344,0.160169,CB1 8,12
547501.4117,256623.8981,Three,CB0349,TL4738656669,16,UMTS,2100,Sectored,17.99,,65,52.188138,0.156285,CB1 8,12
547501.4117,256623.8981,Three,CB0396,TL4738656669,16,UMTS,2100,Sectored,25.85,,65,52.188138,0.156285,CB1 8,12
547501.4117,256623.8981,T-Mobile,91723,TL4738656669,16,GSM,1800,SECTOR,26,32,,52.188138,0.156285,CB1 8,12
547501.4117,256623.8981,T-Mobile,91723,TL4738656669,16,GSM,1800,SECTOR,26,32,,52.188138,0.156285,CB1 8,12
547501.4117,256623.8981,T-Mobile,91723,TL4738656669,16,GSM,1800,SECTOR,26,32,,52.188138,0.156285,CB1 8,12
547501.4117,256623.8981,T-Mobile,91723,TL4738656669,16,UMTS,2100,SECTOR,18,,65,52.188138,0.156285,CB1 8,12
547501.4117,256623.8981,T-Mobile,91723,TL4738656669,16,UMTS,2100,SECTOR,18,,65,52.188138,0.156285,CB1 8,12
547501.4117,256623.8981,T-Mobile,91723,TL4738656669,16,UMTS,2100,SECTOR,18,,65,52.188138,0.156285,CB1 8,12
549765.676,256674.9526,O2,4787,TL4965056720,16.5,GSM,900,Sectored,23.5,32,,52.187987,0.189404,CB1 9,12
549765.676,256674.9526,O2,4787,TL4965056720,16.5,UMTS,2100,Sectored,29.01,,65,52.187987,0.189404,CB1 9,12
548736.6044,256133.849,O2,44441,TL4862156179,11.69,UMTS,2100,Sectored,27.5,,65,52.183404,0.174125,CB1 9,12
548415.4993,255454.8158,Orange,CAM0006,TL4830055500,14,GSM,1800,SECTOR,26.9,32,,52.17739,0.169135,CB1 9,12
548415.4993,255454.8158,Orange,CAM0006,TL4830055500,14,UMTS,2100,SECTOR,28.5,,65,52.17739,0.169135,CB1 9,12
550265.7678,257635.0051,Orange,CAM0098,TL5015057680,21.5,GSM,1800,SECTOR,29,32,,52.196476,0.197139,CB1 9,12
550265.7678,257635.0051,Orange,CAM0098,TL5015057680,21.5,UMTS,2100,SECTOR,27.7,,65,52.196476,0.197139,CB1 9,12
549380.6733,257346.0089,Three,CB0293,TL4926557391,10.3,UMTS,2100,Sectored,25.75,,65,52.19412,0.184072,CB1 9,12
548416.5271,255486.7924,Three,CB0331,TL4830155532,16.35,UMTS,2100,Sectored,17.99,,65,52.177677,0.169164,CB1 9,12
549765.676,256674.9526,Three,CB0388,TL4965056720,19.9,UMTS,2100,Sectored,25.75,,65,52.187987,0.189404,CB1 9,12
548416.5271,255486.7924,T-Mobile,94789,TL4830155532,17,GSM,1800,SECTOR,26,32,,52.177677,0.169164,CB1 9,12
548416.5271,255486.7924,T-Mobile,94789,TL4830155532,17,GSM,1800,SECTOR,30,32,,52.177677,0.169164,CB1 9,12
548416.5271,255486.7924,T-Mobile,94789,TL4830155532,17,GSM,1800,SECTOR,26,32,,52.177677,0.169164,CB1 9,12
549765.676,256674.9526,T-Mobile,98719,TL4965056720,10.5,GSM,1800,SECTOR,31,32,,52.187987,0.189404,CB1 9,12
549765.676,256674.9526,T-Mobile,98719,TL4965056720,10.5,GSM,1800,SECTOR,27,32,,52.187987,0.189404,CB1 9,12
549765.676,256674.9526,T-Mobile,98719,TL4965056720,10.5,GSM,1800,SECTOR,26,32,,52.187987,0.189404,CB1 9,12
548416.5271,255486.7924,T-Mobile,94789,TL4830155532,17,UMTS,2100,SECTOR,18,,65,52.177677,0.169164,CB1 9,12
548416.5271,255486.7924,T-Mobile,94789,TL4830155532,17,UMTS,2100,SECTOR,18,,65,52.177677,0.169164,CB1 9,12
548416.5271,255486.7924,T-Mobile,94789,TL4830155532,17,UMTS,2100,SECTOR,18,,65,52.177677,0.169164,CB1 9,12
549765.676,256674.9526,Vodafone,40193,TL4965056720,12.3,UMTS,2100,Macro,28.4,,65,52.187987,0.189404,CB1 9,12
549765.676,256674.9526,Vodafone,40193,TL4965056720,12.3,UMTS,2100,Macro,28.4,,65,52.187987,0.189404,CB1 9,12
549765.676,256674.9526,Vodafone,40193,TL4965056720,12.3,UMTS,2100,Macro,28.4,,65,52.187987,0.189404,CB1 9,12
548703.6035,256136.8666,Vodafone,76689,TL4858856182,11.1,UMTS,2100,Macro,29.1,,65,52.18344,0.173644,CB1 9,12
548703.6035,256136.8666,Vodafone,76689,TL4858856182,11.1,UMTS,2100,Macro,29.1,,65,52.18344,0.173644,CB1 9,12
548703.6035,256136.8666,Vodafone,76689,TL4858856182,11.1,UMTS,2100,Macro,29.1,,65,52.18344,0.173644,CB1 9,12
549569.6414,242900.2861,O2,2283,TL4945442947,15,GSM,900,Sectored,24.3,32,,52.064289,0.180488,CB101,12
547915.414,243653.4098,Orange,CAM0032,TL4780043700,24,GSM,1800,SECTOR,25,32,,52.071499,0.156701,CB101,12
547915.414,243653.4098,Orange,CAM0032,TL4780043700,24,UMTS,2100,SECTOR,27.3,,65,52.071499,0.156701,CB101,12
547970.4412,243664.3942,Three,CB0365,TL4785543711,15,UMTS,2100,Sectored,25.75,,65,52.071583,0.157508,CB101,12
547915.414,243653.4098,T-Mobile,94697,TL4780043700,15,GSM,1800,SECTOR,26,32,,52.071499,0.156701,CB101,12
547915.414,243653.4098,T-Mobile,94697,TL4780043700,15,GSM,1800,SECTOR,26,32,,52.071499,0.156701,CB101,12
547915.414,243653.4098,T-Mobile,94697,TL4780043700,15,GSM,1800,SECTOR,26,32,,52.071499,0.156701,CB101,12
549565.641,242903.2826,Vodafone,5543,TL4945042950,18,GSM,900,Macro,25.8,32,,52.064317,0.180431,CB101,12
549565.641,242903.2826,Vodafone,5543,TL4945042950,18,GSM,900,Macro,25.8,32,,52.064317,0.180431,CB101,12
549565.641,242903.2826,Vodafone,5543,TL4945042950,18,GSM,900,Macro,25.8,32,,52.064317,0.180431,CB101,12
546365.2878,255204.7965,O2,36021,TL4625055250,3,GSM,900,Sectored,-10.4,32,,52.175691,0.139066,CB2 0,12
546595.2705,255054.7542,Three,CB0327,TL4648055100,46,UMTS,2100,Sectored,18.7,,65,52.174282,0.142362,CB2 0,12
546595.2705,255054.7542,T-Mobile,94712,TL4648055100,46,GSM,1800,SECTOR,26,32,,52.174282,0.142362,CB2 0,12
546595.2705,255054.7542,T-Mobile,94712,TL4648055100,46,GSM,1800,SECTOR,28,32,,52.174282,0.142362,CB2 0,12
546595.2705,255054.7542,T-Mobile,94712,TL4648055100,46,GSM,1800,SECTOR,26,32,,52.174282,0.142362,CB2 0,12
546595.2705,255054.7542,T-Mobile,94712,TL4648055100,46,UMTS,2100,SECTOR,19,,65,52.174282,0.142362,CB2 0,12
546595.2705,255054.7542,T-Mobile,94712,TL4648055100,46,UMTS,2100,SECTOR,19,,65,52.174282,0.142362,CB2 0,12
546595.2705,255054.7542,T-Mobile,94712,TL4648055100,46,UMTS,2100,SECTOR,18,,65,52.174282,0.142362,CB2 0,12
545865.2121,257204.9445,O2,33723,TL4575057250,4,GSM,900,Sectored,-10,32,,52.193793,0.132618,CB2 1,12
545515.1742,257455.0057,Orange,CAM0120,TL4540057500,26.5,GSM,1800,SECTOR,28.6,32,,52.196132,0.127608,CB2 1,12
545515.1742,257455.0057,Orange,CAM0120,TL4540057500,26.5,UMTS,2100,SECTOR,26.3,,65,52.196132,0.127608,CB2 1,12
545995.2027,257225.0211,Orange,CAM0153,TL4588057270,22.5,GSM,1800,SECTOR,31.6,32,,52.193939,0.134527,CB2 1,12
545995.2027,257225.0211,Orange,CAM0153,TL4588057270,22.5,UMTS,2100,SECTOR,30.6,,65,52.193939,0.134527,CB2 1,12
545385.1841,258095.1007,Orange,CAM7024,TL4527058140,4.3,GSM,1800,MICROCELL,15.7,32,,52.201917,0.125982,CB2 1,12
545285.1471,257595.073,Orange,CAM7026,TL4517057640,4.1,GSM,1800,MICROCELL,15.6,32,,52.197451,0.124305,CB2 1,12
544923.0937,258106.0568,T-Mobile,78348,TL4480858151,4,GSM,1800,SECTOR,10,32,,52.202137,0.11923,CB2 1,12
545073.1311,257896.0697,T-Mobile,78349,TL4495857941,4,GSM,1800,SECTOR,11,32,,52.200211,0.121334,CB2 1,12
545244.1293,257641.0651,T-Mobile,78350,TL4512957686,3,GSM,1800,SECTOR,11,32,,52.197875,0.123725,CB2 1,12
545218.1366,258248.148,O2,105,TL4510358293,24.01,GSM,900,Sectored,25,32,,52.203336,0.123605,CB2 3,12
545005.0988,258405.0862,O2,7410,TL4489058450,5,GSM,900,Sectored,1.09,32,,52.204802,0.120557,CB2 3,12
545245.1526,258325.0733,O2,43447,TL4513058370,10,GSM,900,Sectored,6.5,32,,52.20402,0.124033,CB2 3,12
545147.1257,258382.0846,O2,62888,TL4503258427,3,GSM,900,Sectored,5.39,32,,52.204558,0.122624,CB2 3,12
545306.1544,258199.0812,O2,64238,TL4519158244,2,GSM,900,Sectored,-38.6,32,,52.202872,0.124871,CB2 3,12
545218.1366,258248.148,O2,105,TL4510358293,24,GSM,1800,Sectored,25,32,,52.203336,0.123605,CB2 3,12
545218.1366,258248.148,O2,105,TL4510358293,24,UMTS,2100,Pico,29.06,,65,52.203336,0.123605,CB2 3,12
545147.1257,258382.0846,O2,62888,TL4503258427,3,UMTS,2100,Sectored,12.59,,65,52.204558,0.122624,CB2 3,12
545115.1063,258205.0603,Orange,CAM0020,TL4500058250,30.8,GSM,1800,SECTOR,31.4,32,,52.202976,0.12208,CB2 3,12
545115.1063,258205.0603,Orange,CAM0020,TL4500058250,30.8,UMTS,2100,SECTOR,29.9,,65,52.202976,0.12208,CB2 3,12
545229.177,258317.1476,Three,CB0390,TL4511458362,15.2,UMTS,2100,Sectored,21.29,,65,52.203953,0.123796,CB2 3,12
544935.1141,258317.1109,T-Mobile,78347,TL4482058362,2.5,GSM,1800,SECTOR,11,32,,52.20403,0.119496,CB2 3,12
545229.177,258317.1476,T-Mobile,94761,TL4511458362,20,GSM,1800,SECTOR,26,32,,52.203953,0.123796,CB2 3,12
545229.177,258317.1476,T-Mobile,94761,TL4511458362,20,GSM,1800,SECTOR,27,32,,52.203953,0.123796,CB2 3,12
545229.177,258317.1476,T-Mobile,94761,TL4511458362,20,GSM,1800,SECTOR,26,32,,52.203953,0.123796,CB2 3,12
545229.177,258317.1476,T-Mobile,94761,TL4511458362,25,UMTS,2100,SECTOR,18,,65,52.203953,0.123796,CB2 3,12
545229.177,258317.1476,T-Mobile,94761,TL4511458362,25,UMTS,2100,SECTOR,18,,65,52.203953,0.123796,CB2 3,12
545229.177,258317.1476,T-Mobile,94761,TL4511458362,25,UMTS,2100,SECTOR,18,,65,52.203953,0.123796,CB2 3,12
545229.1307,258335.0666,T-Mobile,94761,TL4511458380,25,UMTS,2100,SECTOR,18,,65,52.204114,0.123803,CB2 3,12
545229.1307,258335.0666,T-Mobile,94761,TL4511458380,25,UMTS,2100,SECTOR,18,,65,52.204114,0.123803,CB2 3,12
545229.1307,258335.0666,T-Mobile,94761,TL4511458380,25,UMTS,2100,SECTOR,18,,65,52.204114,0.123803,CB2 3,12
545015.1104,258355.0687,Vodafone,574,TL4490058400,24.3,GSM,900,Macro,24.4,32,,52.20435,0.120682,CB2 3,12
545015.1104,258355.0687,Vodafone,574,TL4490058400,22.3,GSM,900,Macro,26.1,32,,52.20435,0.120682,CB2 3,12
545015.1104,258355.0687,Vodafone,574,TL4490058400,24.3,GSM,900,Macro,24.6,32,,52.20435,0.120682,CB2 3,12
545015.1104,258355.0687,Vodafone,574,TL4490058400,24.3,GSM,1800,Macro,24,32,,52.20435,0.120682,CB2 3,12
545015.1104,258355.0687,Vodafone,574,TL4490058400,22.3,GSM,1800,Macro,25.5,32,,52.20435,0.120682,CB2 3,12
545015.1104,258355.0687,Vodafone,574,TL4490058400,24.3,GSM,1800,Macro,24.4,32,,52.20435,0.120682,CB2 3,12
545015.1104,258355.0687,Vodafone,574,TL4490058400,24.3,UMTS,2100,Macro,26,,65,52.20435,0.120682,CB2 3,12
545015.1104,258355.0687,Vodafone,574,TL4490058400,24.3,UMTS,2100,Macro,26,,65,52.20435,0.120682,CB2 3,12
545015.1104,258355.0687,Vodafone,574,TL4490058400,24.3,UMTS,2100,Macro,26,,65,52.20435,0.120682,CB2 3,12
545305.1262,258255.1496,Vodafone,10319,TL4519058300,3.8,GSM,900,Micro,9.5,32,,52.203376,0.12488,CB2 3,12
545165.1399,255754.7842,O2,12883,TL4505055800,20.25,GSM,900,Directional,25.2,32,,52.180949,0.121763,CB2 8,12
545165.1399,255754.7842,O2,12883,TL4505055800,20.25,UMTS,900,Sectored,27.2,32,,52.180949,0.121763,CB2 8,12
545165.1399,255754.7842,O2,12883,TL4505055800,18,UMTS,2100,Sectored,28.82,,65,52.180949,0.121763,CB2 8,12
545065.1426,255734.8292,Orange,CAM0118,TL4495055780,18.5,GSM,1800,SECTOR,28.7,32,,52.180796,0.120293,CB2 8,12
545065.1426,255734.8292,Orange,CAM0118,TL4495055780,18.5,UMTS,2100,SECTOR,28.5,,65,52.180796,0.120293,CB2 8,12
545135.0978,255684.7842,Three,CB0211,TL4502055730,17,UMTS,2100,Sectored,18.7,,65,52.180328,0.121294,CB2 8,12
545055.111,255684.7822,Vodafone,33593,TL4494055730,17,GSM,900,Macro,24.2,32,,52.180349,0.120125,CB2 8,12
545055.111,255684.7822,Vodafone,33593,TL4494055730,17,GSM,900,Macro,24.6,32,,52.180349,0.120125,CB2 8,12
545055.111,255684.7822,Vodafone,33593,TL4494055730,17,GSM,900,Macro,24,32,,52.180349,0.120125,CB2 8,12
545055.111,255684.7822,Vodafone,33593,TL4494055730,17,UMTS,2100,Macro,27.6,,65,52.180349,0.120125,CB2 8,12
545055.111,255684.7822,Vodafone,33593,TL4494055730,17,UMTS,2100,Macro,28.1,,65,52.180349,0.120125,CB2 8,12
545055.111,255684.7822,Vodafone,33593,TL4494055730,17,UMTS,2100,Macro,27.3,,65,52.180349,0.120125,CB2 8,12
544675.0441,254984.7036,Orange,CAM7034,TL4456055030,9.5,GSM,1800,SECTOR,27.3,32,,52.174159,0.114272,CB2 9,12
544875.0475,254434.6799,Orange,CAM7048,TL4476054480,6.8,GSM,1800,MICROCELL,16.4,32,,52.169165,0.11696,CB2 9,12
544875.0475,254434.6799,Orange,CAM7048,TL4476054480,6.8,UMTS,2100,MICROCELL,18.3,,65,52.169165,0.11696,CB2 9,12
556966.6074,247903.8212,Orange,CAM0047,TL5685047950,19,GSM,1800,SECTOR,26,32,,52.107193,0.290604,CB214,12
559126.8633,249914.1153,Orange,CAM0155,TL5901049960,28.5,GSM,1800,SECTOR,27.5,32,,52.124635,0.323059,CB214,12
559126.8633,249914.1153,Orange,CAM0155,TL5901049960,28.5,UMTS,2100,SECTOR,26.5,,65,52.124635,0.323059,CB214,12
562517.2815,245053.4574,Orange,ESX0060,TL6240045100,32,GSM,1800,SECTOR,27.8,32,,52.079987,0.370223,CB214,12
562486.2596,245146.5125,Three,CB0265,TL6236945193,31.3,UMTS,2100,Sectored,18.7,,65,52.080832,0.369815,CB214,12
555666.4682,252744.3941,Three,CB0313,TL5555052790,25,UMTS,2100,Sectored,17.89,,65,52.151045,0.273849,CB214,12
556886.5635,247896.8428,Three,CB0326,TL5677047943,22,UMTS,2100,Sectored,17.89,,65,52.107153,0.289433,CB214,12
556866.5356,247803.8179,T-Mobile,94693,TL5675047850,22,GSM,1800,SECTOR,25,32,,52.106323,0.289098,CB214,12
556866.5356,247803.8179,T-Mobile,94693,TL5675047850,22,GSM,1800,SECTOR,25,32,,52.106323,0.289098,CB214,12
556866.5356,247803.8179,T-Mobile,94693,TL5675047850,22,GSM,1800,SECTOR,25,32,,52.106323,0.289098,CB214,12
555666.4682,252744.3941,T-Mobile,96393,TL5555052790,25,GSM,1800,SECTOR,26,32,,52.151045,0.273849,CB214,12
555666.4682,252744.3941,T-Mobile,96393,TL5555052790,25,GSM,1800,SECTOR,30,32,,52.151045,0.273849,CB214,12
555666.4682,252744.3941,T-Mobile,96393,TL5555052790,25,GSM,1800,SECTOR,30,32,,52.151045,0.273849,CB214,12
562597.2582,241533.0402,Vodafone,183,TL6248041580,55,GSM,900,Macro,19.5,32,,52.04834,0.369714,CB214,12
556886.5895,247943.8194,Vodafone,30907,TL5677047990,21,GSM,900,Macro,25,32,,52.107575,0.289455,CB214,12
