Operator,Anttype,Freqband,area_coverage_2016,pcd_sector,area_coverage_2015,name,geo_code,area_coverage_2014,Transtype,Sitengr
Three,Sectored,2100,100.0,AB166,100.0,AberdeenCity,00QA,0.0,UMTS,NJ8890406851
Vodafone,Macro,2100,100.0,AB167,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9106008070
Vodafone,Macro,2100,0.0,AB210,0.0,AberdeenCity,00QA,0.0,UMTS,NJ8845213391
Vodafone,Macro,2100,0.0,AB217,0.0,Aberdeenshire,00QA,0.0,UMTS,NJ8889311514
Vodafone,Macro,2100,100.0,AB219,0.0,AberdeenCity,00QA,0.0,UMTS,NJ8923909875
Vodafone,Macro,2100,100.0,AB228,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9239311885
Vodafone,Macro,2100,0.0,AB238,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9330411684
Vodafone,Macro,2100,100.0,AB241,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9438408986
Vodafone,Macro,2100,100.0,AB242,100.0,AberdeenCity,00QA,0.0,UMTS,NJ9121809241
Vodafone,Macro,2100,100.0,AB243,100.0,AberdeenCity,00QA,0.0,UMTS,NJ9376307308
Three,Sectored,2100,100.0,AB244,100.0,AberdeenCity,00QA,0.0,UMTS,NJ9171708223
Vodafone,Macro,2100,100.0,AB245,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9466007652
Vodafone,Macro,2100,100.0,AB251,100.0,AberdeenCity,00QA,0.0,UMTS,NJ9367006710
,,,100.0,AB252,100.0,AberdeenCity,,0.0,,
Vodafone,Macro,2100,100.0,AB253,100.0,AberdeenCity,00QA,0.0,UMTS,NJ9312107269
Vodafone,Macro,900,0.0,AB301,0.0,Angus,00QB,0.0,GSM,NO8195081120
Vodafone,Macro,900,0.0,AB314,0.0,Aberdeenshire,00QB,0.0,GSM,NJ6137001880
T-Mobile,SECTOR,1800,0.0,AB315,0.0,AberdeenCity,00QB,0.0,GSM,NO7844099520
Vodafone,Macro,900,0.0,AB316,0.0,Aberdeenshire,00QB,0.0,GSM,NO7085095260
Vodafone,Macro,2100,0.0,AB326,0.0,Aberdeenshire,00QB,0.0,UMTS,NJ8284906508
Vodafone,Macro,900,0.0,AB327,0.0,Aberdeenshire,00QB,0.0,GSM,NJ7597007670
Vodafone,Macro,900,0.0,AB338,0.0,Aberdeenshire,00QB,0.0,GSM,NJ4434015015
Vodafone,Macro,900,0.0,AB344,0.0,Aberdeenshire,00QB,0.0,GSM,NJ4262606601
Vodafone,Macro,900,0.0,AB345,0.0,Aberdeenshire,00QB,0.0,GSM,NJ5945000190
Vodafone,Macro,900,0.0,AB355,0.0,Aberdeenshire,00QB,0.0,GSM,NO2680695799
Vodafone,Macro,900,0.0,AB368,0.0,Aberdeenshire,00QB,0.0,GSM,NJ4118010410
Vodafone,Macro,900,0.0,AB379,0.0,Moray,00QX,0.0,GSM,NJ1633520950
Vodafone,Macro,900,0.0,AB387,0.0,Moray,00QX,0.0,GSM,NJ2727047760
Vodafone,Macro,900,0.0,AB389,0.0,Moray,00QX,0.0,GSM,NJ2519042040
Vodafone,Macro,900,0.0,AB392,0.0,Aberdeenshire,00QB,0.0,GSM,NO8451077760
Vodafone,Macro,900,0.0,AB393,0.0,Aberdeenshire,00QB,0.0,GSM,NO8956291777
Vodafone,Macro,900,0.0,AB416,0.0,Aberdeenshire,00QB,0.0,GSM,NJ9681021950
Vodafone,Macro,900,0.0,AB417,0.0,Aberdeenshire,00QB,0.0,GSM,NJ8983027230
Vodafone,Macro,900,0.0,AB418,0.0,Aberdeenshire,00QB,0.0,GSM,NJ9356539360
T-Mobile,SECTOR,1800,0.0,AB419,0.0,Aberdeenshire,00QB,0.0,GSM,NJ9578029920
Vodafone,Macro,900,0.0,AB420,0.0,Aberdeenshire,00QB,0.0,GSM,NK0382536820
Vodafone,Macro,2100,0.0,AB421,0.0,Aberdeenshire,00QB,0.0,UMTS,NK1327746714
T-Mobile,SECTOR,1800,100.0,AB422,0.353530908,Aberdeenshire,00QB,0.0,GSM,NK1110045200
Vodafone,Macro,900,0.0,AB423,0.0,Aberdeenshire,00QB,0.0,GSM,NK1263041580
Vodafone,Macro,900,0.0,AB424,0.0,Aberdeenshire,00QB,0.0,GSM,NK0214048000
Vodafone,Macro,900,0.0,AB425,0.0,Aberdeenshire,00QB,0.0,GSM,NK0047045060
Vodafone,Macro,900,0.0,AB436,0.0,Aberdeenshire,00QB,0.0,GSM,NJ9309056310
Vodafone,Macro,2100,0.0,AB437,0.0,Aberdeenshire,00QB,0.0,UMTS,NJ9852066888
T-Mobile,SECTOR,1800,0.0,AB438,0.0,Aberdeenshire,00QB,0.0,GSM,NK0454855915
Vodafone,Micro,900,91.02642728,AB439,0.0,Aberdeenshire,,0.0,GSM,NJ9982067000
Vodafone,Macro,900,0.0,AB441,0.0,Aberdeenshire,00QB,0.0,GSM,NJ7037064010
,,,0.0,AB451,0.0,Aberdeenshire,,0.0,,
Vodafone,Macro,900,0.0,AB452,0.0,Moray,00QB,0.0,GSM,NJ5892062200
Vodafone,Macro,900,0.0,AB453,0.0,Aberdeenshire,00QB,0.0,GSM,NJ7768762414
Vodafone,Macro,900,0.0,AB510,0.0,Aberdeenshire,00QB,0.0,GSM,NJ8508027330
Vodafone,Macro,2100,100.0,AB513,0.0,AberdeenCity,00QB,0.0,UMTS,NJ7751520070
Vodafone,Macro,2100,0.0,AB514,0.0,Aberdeenshire,00QB,0.0,UMTS,NJ7738521770
Vodafone,Macro,900,0.0,AB515,0.0,Aberdeenshire,00QB,0.0,GSM,NJ7259817709
,,,0.0,AB516,0.0,Aberdeenshire,,0.0,,
Vodafone,Macro,900,0.0,AB517,0.0,AberdeenCity,00QB,0.0,GSM,NJ6473011210
Vodafone,Macro,900,0.0,AB518,0.0,Aberdeenshire,00QB,0.0,GSM,NJ7604032990
Vodafone,Macro,900,0.0,AB526,0.0,Aberdeenshire,00QB,0.0,GSM,NJ6596026910
Orange,MICROCELL,2100,0.0,AB534,0.0,Aberdeenshire,00QB,0.0,UMTS,NJ7258050420
Vodafone,Macro,900,0.0,AB535,0.0,Aberdeenshire,00QB,0.0,GSM,NJ7289050520
Vodafone,Macro,900,0.0,AB536,0.0,Aberdeenshire,00QB,0.0,GSM,NJ8892049890
Vodafone,Macro,900,0.0,AB538,0.0,Aberdeenshire,00QB,0.0,GSM,NJ7455043400
Vodafone,Macro,900,0.0,AB544,0.0,Moray,00QB,0.0,GSM,NJ4442040490
Orange,OMNI,1800,0.0,AB546,0.0,Aberdeenshire,00QB,0.0,GSM,NJ5351039400
Vodafone,Macro,900,0.0,AB547,0.0,Moray,00QB,0.0,GSM,NJ6128049270
Orange,SECTOR,1800,0.0,AB548,0.0,Aberdeenshire,00QB,0.0,GSM,NJ5205039770
Vodafone,Macro,900,0.0,AB554,0.0,Moray,00QX,0.0,GSM,NJ3292039300
Vodafone,Macro,900,0.0,AB555,0.0,Aberdeenshire,00QX,0.0,GSM,NJ4688051010
Vodafone,Macro,900,0.0,AB556,0.0,Moray,00QX,0.0,GSM,NJ3936951001
Vodafone,Macro,900,0.0,AB561,0.0,Moray,00QX,0.0,GSM,NJ4264065610
Vodafone,Macro,900,0.0,AB564,0.0,Aberdeenshire,00QX,0.0,GSM,NJ5141067180
Vodafone,Macro,900,0.0,AB565,0.0,Moray,00QX,0.0,GSM,NJ3952061300
Vodafone,Macro,2100,100.0,AL100,0.0,HertfordshireCounty,26,52.36023315,UMTS,TL2174008880
Vodafone,Macro,2100,100.0,AL108,100.0,HertfordshireCounty,26,100.0,UMTS,TL2212007680
Vodafone,Macro,2100,0.0,AL109,0.0,HertfordshireCounty,26,0.0,UMTS,TL2141007060
,,,0.0,AL11,0.0,HertfordshireCounty,,0.0,,
Vodafone,Macro,2100,0.0,AL12,0.0,HertfordshireCounty,26,0.0,UMTS,TL1475006094
Vodafone,Macro,2100,100.0,AL13,100.0,HertfordshireCounty,26,100.0,UMTS,TL1519207347
Vodafone,Macro,2100,100.0,AL14,0.0,HertfordshireCounty,26,0.0,UMTS,TL1622807314
Three,Sectored,2100,100.0,AL15,100.0,HertfordshireCounty,26,100.0,UMTS,TL1670807255
Vodafone,Macro,900,0.0,AL21,0.0,HertfordshireCounty,26,0.0,GSM,TL1760003200
Vodafone,Macro,2100,0.0,AL22,0.0,HertfordshireCounty,26,0.0,UMTS,TL1581802552
Vodafone,Macro,2100,0.0,AL23,0.0,HertfordshireCounty,26,0.0,UMTS,TL1342002770
,,,0.0,AL34,0.0,HertfordshireCounty,,0.0,,
T-Mobile,SECTOR,2100,100.0,AL35,0.0,HertfordshireCounty,26,0.0,UMTS,TL1435008100
Vodafone,Macro,2100,0.0,AL36,0.0,HertfordshireCounty,26,0.0,UMTS,TL0963109101
Vodafone,Macro,2100,0.0,AL37,0.0,HertfordshireCounty,26,0.0,UMTS,TL0857110497
Vodafone,Macro,2100,0.0,AL38,0.0,CentralBedfordshire,26,0.0,UMTS,TL0717015630
Vodafone,Macro,2100,0.0,AL40,0.0,HertfordshireCounty,26,0.0,UMTS,TL1718005748
Vodafone,Macro,2100,0.0,AL48,0.0,HertfordshireCounty,26,0.0,UMTS,TL1803014144
Vodafone,Macro,2100,0.0,AL49,0.0,HertfordshireCounty,26,0.0,UMTS,TL1687108645
Vodafone,Macro,900,0.0,AL51,0.0,HertfordshireCounty,26,0.0,GSM,TL1504012460
Vodafone,Macro,2100,0.0,AL52,0.0,HertfordshireCounty,26,0.0,UMTS,TL1267112496
Vodafone,Macro,2100,0.0,AL53,0.0,CentralBedfordshire,26,0.0,UMTS,TL1080815303
Vodafone,Macro,2100,0.0,AL54,0.0,HertfordshireCounty,26,0.0,UMTS,TL1344315218
Vodafone,Macro,2100,100.0,AL55,0.0,HertfordshireCounty,26,0.0,UMTS,TL1449016100
Vodafone,Macro,2100,0.0,AL60,0.0,HertfordshireCounty,26,0.0,UMTS,TL2411016444
Vodafone,Macro,2100,0.0,AL69,0.0,HertfordshireCounty,26,0.0,UMTS,TL2307015279
Vodafone,Macro,2100,0.0,AL71,0.0,HertfordshireCounty,26,0.0,UMTS,TL2481413852
Vodafone,Macro,2100,100.0,AL72,0.0,HertfordshireCounty,26,0.0,UMTS,TL2571613462
Vodafone,Macro,2100,100.0,AL73,0.0,HertfordshireCounty,26,100.0,UMTS,TL2474611891
Vodafone,Macro,2100,100.0,AL74,0.0,HertfordshireCounty,26,0.0,UMTS,TL2515710894
T-Mobile,SECTOR,2100,0.0,AL86,0.0,HertfordshireCounty,26,0.0,UMTS,TL2372613056
T-Mobile,SECTOR,2100,0.0,AL87,0.0,HertfordshireCounty,26,0.0,UMTS,TL2057012050
Vodafone,Macro,2100,0.0,AL95,0.0,HertfordshireCounty,26,0.0,UMTS,TL2316409165
Vodafone,Macro,2100,0.0,AL96,0.0,HertfordshireCounty,26,0.0,UMTS,TL2604004970
Vodafone,Macro,900,0.0,AL97,0.0,HertfordshireCounty,26,0.0,GSM,TL2401004370
Vodafone,Macro,2100,100.0,B100,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0969385232
Three,Sectored,2100,100.0,B109,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0940586031
Vodafone,Macro,2100,100.0,B11,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0653186152
Vodafone,Macro,2100,100.0,B111,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0809085160
Vodafone,Macro,2100,0.0,B112,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP1060083960
Three,Sectored,2100,100.0,B113,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP1099483093
Vodafone,Macro,900,100.0,B114,100.0,BirminghamDistrict,00CN,100.0,GSM,SP0888483228
Vodafone,Micro,900,100.0,B12,100.0,BirminghamDistrict,00CN,100.0,GSM,SP0614586660
Vodafone,Macro,2100,0.0,B120,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0734085565
Vodafone,Macro,2100,100.0,B128,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0781584100
Three,Sectored,2100,100.0,B129,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0662984285
Vodafone,Macro,2100,100.0,B13,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0588887393
Vodafone,Macro,2100,0.0,B130,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0746080491
Three,Sectored,2100,0.0,B138,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0616182187
Vodafone,Macro,2100,100.0,B139,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0879582755
T-Mobile,SECTOR,2100,100.0,B144,100.0,SolihullDistrict,00CN,100.0,UMTS,SP0807079536
Vodafone,Macro,2100,100.0,B145,28.21649265,WorcestershireCounty,00CN,100.0,UMTS,SP0772079070
Three,Sectored,2100,100.0,B146,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0674280277
Vodafone,Macro,2100,100.0,B147,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0742582233
Vodafone,Macro,2100,100.0,B151,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0602286441
Vodafone,Macro,2100,0.0,B152,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0397083900
Three,Sectored,2100,0.0,B153,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0497586018
T-Mobile,SECTOR,2100,100.0,B160,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0449787664
Vodafone,Micro,900,100.0,B168,100.0,BirminghamDistrict,00CN,100.0,GSM,SP0529186018
Vodafone,Macro,2100,100.0,B169,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0360086050
Vodafone,Macro,2100,0.0,B170,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0308483279
Three,Sectored,2100,0.0,B178,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0235086420
,,,100.0,B179,100.0,BirminghamDistrict,,100.0,,
T-Mobile,SECTOR,2100,100.0,B184,100.0,SandwellDistrict,00CN,100.0,UMTS,SP0359587775
Vodafone,Macro,2100,0.0,B185,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0561588322
T-Mobile,SECTOR,2100,0.0,B186,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0609687742
T-Mobile,SECTOR,2100,100.0,B187,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0500087810
Vodafone,Macro,2100,100.0,B191,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0584889413
Three,Sectored,2100,100.0,B192,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0673589434
Vodafone,Macro,2100,0.0,B193,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0679288453
,,,0.0,B201,0.0,BirminghamDistrict,,0.0,,
Vodafone,Macro,2100,100.0,B202,6.956305447,BirminghamDistrict,00CN,100.0,UMTS,SP0461390627
Vodafone,Macro,2100,100.0,B203,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0616090010
T-Mobile,SECTOR,2100,100.0,B210,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0311690165
Three,Sectored,2100,100.0,B218,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0388590795
Vodafone,Macro,2100,100.0,B219,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0402089680
Orange,SECTOR,2100,100.0,B235,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP1130092540
Vodafone,Macro,900,100.0,B236,100.0,BirminghamDistrict,00CN,100.0,GSM,SP1098092260
T-Mobile,SECTOR,2100,100.0,B237,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0860193111
Vodafone,Micro,900,0.0,B24,0.0,BirminghamDistrict,00CN,0.0,GSM,SP0704086995
Vodafone,Macro,2100,0.0,B240,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP1291892115
Vodafone,Macro,2100,0.0,B248,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP1094589904
Vodafone,Macro,2100,0.0,B249,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP1128392132
Vodafone,Micro,900,100.0,B25,100.0,BirminghamDistrict,00CN,100.0,GSM,SP0695086975
Vodafone,Macro,2100,100.0,B258,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP1154385016
Vodafone,Macro,2100,100.0,B261,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP1260085000
T-Mobile,SECTOR,2100,100.0,B262,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP1466385748
Vodafone,Macro,2100,100.0,B263,100.0,SolihullDistrict,00CN,100.0,UMTS,SP1450084013
Vodafone,Macro,2100,100.0,B276,100.0,SolihullDistrict,00CN,100.0,UMTS,SP1223083300
T-Mobile,SECTOR,2100,100.0,B277,100.0,SolihullDistrict,00CN,100.0,UMTS,SP1105582770
Vodafone,Macro,2100,100.0,B280,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0992380466
Vodafone,Macro,2100,100.0,B288,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP1086482206
Vodafone,Macro,2100,100.0,B289,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP1065081300
Vodafone,Macro,2100,0.0,B294,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0172181062
Vodafone,Macro,2100,100.0,B295,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0206682177
Vodafone,Macro,2100,100.0,B296,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0455882888
,,,100.0,B297,100.0,BirminghamDistrict,,100.0,,
Vodafone,Macro,2100,0.0,B301,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0347881219
Vodafone,Macro,2100,0.0,B302,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0572581832
Vodafone,Macro,2100,0.0,B303,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0550780006
Vodafone,Micro,900,100.0,B31,100.0,BirminghamDistrict,00CN,100.0,GSM,SP0637687388
Vodafone,Macro,2100,0.0,B311,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0115179787
Vodafone,Macro,2100,0.0,B312,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0236279668
Three,Sectored,2100,100.0,B313,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0282777370
Vodafone,Macro,2100,100.0,B314,100.0,WorcestershireCounty,00CN,100.0,UMTS,SP0155077670
Vodafone,Macro,2100,100.0,B315,0.0,WorcestershireCounty,00CN,0.0,UMTS,SO9977378336
Vodafone,Macro,2100,0.0,B32,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0669187183
Vodafone,Macro,2100,0.0,B321,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0021585018
Vodafone,Macro,2100,100.0,B322,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0170283663
Vodafone,Macro,2100,0.0,B323,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0010582764
Vodafone,Macro,2100,0.0,B324,0.0,BirminghamDistrict,00CN,0.0,UMTS,SO9908581585
Vodafone,Micro,900,,B33,,,00CN,,GSM,SP0665587145
Vodafone,Macro,2100,0.0,B330,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP1617785848
Vodafone,Macro,900,100.0,B338,100.0,BirminghamDistrict,00CN,100.0,GSM,SP1304487448
T-Mobile,SECTOR,2100,100.0,B339,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP1255187805
Vodafone,Macro,900,0.0,B346,0.0,BirminghamDistrict,00CN,0.0,GSM,SP1376288602
Vodafone,Macro,2100,0.0,B347,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP1574288935
Orange,SECTOR,2100,100.0,B356,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP1378091300
T-Mobile,SECTOR,2100,0.0,B357,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP1422590890
Vodafone,Macro,2100,100.0,B360,100.0,SolihullDistrict,00CT,100.0,UMTS,SP1772088860
Vodafone,Macro,2100,100.0,B368,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP1253088380
Vodafone,Macro,2100,100.0,B369,100.0,SolihullDistrict,00CT,100.0,UMTS,SP1505089348
Vodafone,Macro,2100,100.0,B375,100.0,SolihullDistrict,00CT,100.0,UMTS,SP1769086930
Vodafone,Macro,2100,100.0,B376,100.0,SolihullDistrict,00CT,100.0,UMTS,SP1934086640
Vodafone,Macro,2100,100.0,B377,0.0,SolihullDistrict,00CT,100.0,UMTS,SP1857083913
O2,Sectored,900,0.0,B380,0.0,BirminghamDistrict,47,0.0,GSM,SP0540775569
Vodafone,Macro,2100,100.0,B388,0.0,WorcestershireCounty,00CN,0.0,UMTS,SP0421079330
Vodafone,Macro,2100,66.94864048,B389,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0405077740
Vodafone,Macro,1800,,B401,,,00CT,,GSM,SP1911583785
Vodafone,Macro,2100,0.0,B421,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0485692410
Orange,OMNI,2100,0.0,B422,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0560094350
Vodafone,Macro,2100,100.0,B435,100.0,SandwellDistrict,00CS,100.0,UMTS,SP0439093190
Vodafone,Macro,2100,100.0,B436,100.0,SandwellDistrict,00CS,100.0,UMTS,SP0419094223
Vodafone,Macro,2100,100.0,B437,100.0,SandwellDistrict,00CS,100.0,UMTS,SP0468095088
Vodafone,Macro,2100,100.0,B440,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0855093276
T-Mobile,SECTOR,2100,0.0,B448,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0704393485
Vodafone,Macro,2100,100.0,B449,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0639994722
T-Mobile,SECTOR,2100,100.0,B450,100.0,BirminghamDistrict,47,100.0,UMTS,SO9970579330
Vodafone,Macro,2100,0.0,B458,0.0,WorcestershireCounty,47,0.0,UMTS,SP0092276125
Vodafone,Macro,2100,7.718971415,B459,0.0,WorcestershireCounty,00CN,0.0,UMTS,SO9894377571
Vodafone,Micro,900,100.0,B46,100.0,BirminghamDistrict,00CN,100.0,GSM,SP0730587220
Vodafone,Macro,2100,0.0,B461,0.0,WarwickshireCounty,44,0.0,UMTS,SP1747689903
T-Mobile,SECTOR,1800,0.0,B462,0.0,WarwickshireCounty,44,0.0,GSM,SP2450089800
Three,Sectored,2100,0.0,B463,0.0,WarwickshireCounty,44,0.0,UMTS,SP2124586622
Vodafone,Micro,900,0.0,B47,0.0,BirminghamDistrict,00CN,0.0,GSM,SP0720087100
Three,Sectored,2100,100.0,B475,0.0,WorcestershireCounty,47,0.0,UMTS,SP0935076708
Vodafone,Macro,2100,0.0,B476,0.0,WorcestershireCounty,47,0.0,UMTS,SP0810074750
Vodafone,Macro,2100,0.0,B487,0.0,WarwickshireCounty,47,0.0,UMTS,SP0571272983
Vodafone,Macro,900,0.0,B495,0.0,WarwickshireCounty,47,0.0,GSM,SP0444057700
Vodafone,Macro,900,0.0,B496,0.0,WarwickshireCounty,44,0.0,GSM,SP0851056250
Three,Sectored,2100,0.0,B504,0.0,WarwickshireCounty,44,0.0,UMTS,SP1011052680
Vodafone,Micro,900,100.0,B54,100.0,BirminghamDistrict,00CN,100.0,GSM,SP0685086355
Three,Sectored,2100,100.0,B55,100.0,BirminghamDistrict,00CN,100.0,UMTS,SP0723986586
Vodafone,Micro,900,100.0,B56,100.0,BirminghamDistrict,00CN,100.0,GSM,SP0708186006
Vodafone,Macro,2100,0.0,B57,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0629084240
Vodafone,Macro,2100,0.0,B601,0.0,WorcestershireCounty,47,0.0,UMTS,SO9899072865
Vodafone,Macro,2100,100.0,B602,0.0,WorcestershireCounty,47,0.0,UMTS,SO9701570755
Vodafone,Macro,2100,0.0,B603,0.0,WorcestershireCounty,47,0.0,UMTS,SO9617869141
Vodafone,Macro,2100,0.0,B604,0.0,WorcestershireCounty,47,0.0,UMTS,SO9380066500
Vodafone,Macro,2100,0.0,B610,0.0,WorcestershireCounty,47,0.0,UMTS,SO9678775473
Vodafone,Macro,2100,100.0,B617,0.0,WorcestershireCounty,47,0.0,UMTS,SO9565070530
Three,Sectored,2100,100.0,B618,0.0,WorcestershireCounty,47,0.0,UMTS,SO9507671960
Vodafone,Macro,2100,0.0,B619,0.0,WorcestershireCounty,47,0.0,UMTS,SO9478073000
Vodafone,Macro,2100,0.0,B620,0.0,BirminghamDistrict,00CR,0.0,UMTS,SO9517081900
Vodafone,Macro,2100,96.53359671,B628,0.0,DudleyDistrict,00CR,80.76273616,UMTS,SO9690485224
Vodafone,Macro,2100,100.0,B629,100.0,DudleyDistrict,00CR,100.0,UMTS,SO9788585705
,,,100.0,B631,0.0,DudleyDistrict,,100.0,,
T-Mobile,SECTOR,2100,100.0,B632,100.0,DudleyDistrict,00CR,100.0,UMTS,SO9345084267
Vodafone,Macro,2100,100.0,B633,0.0,DudleyDistrict,00CR,100.0,UMTS,SO9622083980
Vodafone,Macro,2100,100.0,B634,100.0,DudleyDistrict,00CR,100.0,UMTS,SO9623083130
Vodafone,Macro,2100,0.0,B64,0.0,BirminghamDistrict,00CN,0.0,UMTS,SP0737788408
,,,100.0,B645,100.0,DudleyDistrict,,100.0,,
Vodafone,Macro,2100,100.0,B646,100.0,DudleyDistrict,00CS,100.0,UMTS,SO9546586544
Vodafone,Macro,2100,100.0,B647,100.0,DudleyDistrict,00CS,100.0,UMTS,SO9394885712
